main plan id;year;month;date;premiums;payment mode
586c9b9f73706155e28e3ea5;2016;4;2016-04-01;3210.0;Cash ( Credit Card )
586c9b9f73706155e28e3ea5;2017;4;2017-04-01;3210.0;Cash ( Credit Card )
586c9b9f73706155e28e3ea5;2018;4;2018-04-01;3210.0;Cash ( Credit Card )
586c9b9f73706155e28e3ea5;2019;4;2019-04-01;3210.0;Cash ( Credit Card )
586c9b9f73706155e28e3ea5;2020;4;2020-04-01;3210.0;Cash ( Credit Card )
586c9b9f73706155e28e3ea5;2021;4;2021-04-01;3210.0;Cash ( Credit Card )
586c9b9f73706155e28e3ea5;2022;4;2022-04-01;3210.0;Cash ( Credit Card )
586c9b9f73706155e28e3ea5;2023;4;2023-04-01;3210.0;Cash ( Credit Card )
5ae2d3b47370610cc61a93e7;2015;4;2015-04-27;600.0 | 125.0;CPF Medisave Account | Cash ( GIRO )
5ae2d3b47370610cc61a93e7;2016;4;2016-04-27;600.0 | 125.0;CPF Medisave Account | Cash ( GIRO )
5ae2d3b47370610cc61a93e7;2017;4;2017-04-27;600.0 | 125.0;CPF Medisave Account | Cash ( GIRO )
5ae2d3b47370610cc61a93e7;2018;4;2018-04-27;600.0 | 125.0;CPF Medisave Account | Cash ( GIRO )
5ae2d3b47370610cc61a93e7;2019;4;2019-04-27;600.0 | 125.0;CPF Medisave Account | Cash ( GIRO )
5ae2d3b47370610cc61a93e7;2020;4;2020-04-27;600.0 | 125.0;CPF Medisave Account | Cash ( GIRO )
5ae2d3b47370610cc61a93e7;2021;4;2021-04-27;600.0 | 125.0;CPF Medisave Account | Cash ( GIRO )
5ae2d3b47370610cc61a93e7;2022;4;2022-04-27;600.0 | 125.0;CPF Medisave Account | Cash ( GIRO )
5ae2d4277370610cc51a93d4;2018;4;2018-04-27;128.0;CPF Medisave Account
5ae2d4277370610cc51a93d4;2019;4;2019-04-27;128.0;CPF Medisave Account
5ae2d4277370610cc51a93d4;2020;4;2020-04-27;128.0;CPF Medisave Account
5ae2d4277370610cc51a93d4;2021;4;2021-04-27;128.0;CPF Medisave Account
5ae2d4277370610cc51a93d4;2022;4;2022-04-27;128.0;CPF Medisave Account
5ae2d4c07370610cc61a93f5;2018;4;2018-04-27;300.0 | 48.0;CPF Medisave Account | Cash ( GIRO )
5ae2d4c07370610cc61a93f5;2019;4;2019-04-27;300.0 | 48.0;CPF Medisave Account | Cash ( GIRO )
5ae2d4c07370610cc61a93f5;2020;4;2020-04-27;300.0 | 48.0;CPF Medisave Account | Cash ( GIRO )
5ae2d4c07370610cc61a93f5;2021;4;2021-04-27;300.0 | 48.0;CPF Medisave Account | Cash ( GIRO )
5ae2d4c07370610cc61a93f5;2022;4;2022-04-27;300.0 | 48.0;CPF Medisave Account | Cash ( GIRO )
5ae2d5827370610cc61a93fc;2003;4;2003-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2004;4;2004-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2005;4;2005-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2006;4;2006-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2007;4;2007-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2008;4;2008-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2009;4;2009-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2010;4;2010-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2011;4;2011-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2012;4;2012-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2013;4;2013-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2014;4;2014-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2015;4;2015-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2016;4;2016-04-27;2345.0;Cash ( GIRO )
5ae2d5827370610cc61a93fc;2017;4;2017-04-27;2345.0;Cash ( GIRO )
5ae2d6a67370610cc61a9411;2011;2;2011-02-27;15000.0;Cash ( GIRO )
5ae2d6a67370610cc61a9411;2012;2;2012-02-27;15000.0;Cash ( GIRO )
5ae2d6a67370610cc61a9411;2013;2;2013-02-27;15000.0;Cash ( GIRO )
5ae2d6a67370610cc61a9411;2014;2;2014-02-27;15000.0;Cash ( GIRO )
5ae2d6a67370610cc61a9411;2015;2;2015-02-27;15000.0;Cash ( GIRO )
5ae2d6a67370610cc61a9411;2016;2;2016-02-27;15000.0;Cash ( GIRO )
5ae2d6a67370610cc61a9411;2017;2;2017-02-27;15000.0;Cash ( GIRO )
5ae2d6a67370610cc61a9411;2018;2;2018-02-27;15000.0;Cash ( GIRO )
5ae2d6a67370610cc61a9411;2019;2;2019-02-27;15000.0;Cash ( GIRO )
5ae2d6a67370610cc61a9411;2020;2;2020-02-27;15000.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2070;4;2070-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2069;4;2069-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2068;4;2068-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2067;4;2067-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2066;4;2066-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2065;4;2065-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2064;4;2064-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2063;4;2063-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2062;4;2062-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2061;4;2061-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2060;4;2060-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2059;4;2059-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2058;4;2058-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2057;4;2057-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2056;4;2056-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2055;4;2055-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2054;4;2054-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2053;4;2053-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2052;4;2052-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2051;4;2051-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2050;4;2050-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2049;4;2049-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2048;4;2048-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2047;4;2047-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2046;4;2046-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2045;4;2045-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2044;4;2044-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2043;4;2043-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2042;4;2042-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2041;4;2041-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2040;4;2040-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2039;4;2039-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2038;4;2038-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2037;4;2037-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2036;4;2036-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2035;4;2035-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2034;4;2034-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2033;4;2033-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2032;4;2032-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2031;4;2031-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2030;4;2030-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2029;4;2029-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2028;4;2028-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2027;4;2027-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2026;4;2026-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2025;4;2025-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2024;4;2024-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2023;4;2023-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2022;4;2022-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2021;4;2021-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2020;4;2020-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2019;4;2019-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2018;4;2018-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2017;4;2017-04-09;1245.0;Cash ( GIRO )
5ae2d7227370610cc61a9421;2016;4;2016-04-09;1245.0;Cash ( GIRO )
5b84b9c3d4ce12785f3f526d;2026;8;2026-08-27;5000.0;Cash ( GIRO )
5b84b9c3d4ce12785f3f526d;2025;8;2025-08-27;5000.0;Cash ( GIRO )
5b84b9c3d4ce12785f3f526d;2024;8;2024-08-27;5000.0;Cash ( GIRO )
5b84b9c3d4ce12785f3f526d;2023;8;2023-08-27;5000.0;Cash ( GIRO )
5b84b9c3d4ce12785f3f526d;2022;8;2022-08-27;5000.0;Cash ( GIRO )
5b84b9c3d4ce12785f3f526d;2021;8;2021-08-27;5000.0;Cash ( GIRO )
5b84b9c3d4ce12785f3f526d;2020;8;2020-08-27;5000.0;Cash ( GIRO )
5b84b9c3d4ce12785f3f526d;2019;8;2019-08-27;5000.0;Cash ( GIRO )
5b84b9c3d4ce12785f3f526d;2018;8;2018-08-27;5000.0;Cash ( GIRO )
5b84b9c3d4ce12785f3f526d;2017;8;2017-08-27;5000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2018;8;2018-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2019;8;2019-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2020;8;2020-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2021;8;2021-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2022;8;2022-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2023;8;2023-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2024;8;2024-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2025;8;2025-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2026;8;2026-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2027;8;2027-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2028;8;2028-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2029;8;2029-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2030;8;2030-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2031;8;2031-08-04;2000.0;Cash ( GIRO )
5bb583c4d4ce121b94ccb41c;2032;8;2032-08-04;2000.0;Cash ( GIRO )
5c7643dbd4ce123f1109be86;2012;2;2012-02-27;234.0;Cash ( GIRO )
5c7643dbd4ce123f1109be86;2013;2;2013-02-27;234.0;Cash ( GIRO )
5c7643dbd4ce123f1109be86;2014;2;2014-02-27;234.0;Cash ( GIRO )
5c7643dbd4ce123f1109be86;2015;2;2015-02-27;234.0;Cash ( GIRO )
5c7643dbd4ce123f1109be86;2016;2;2016-02-27;234.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2000;3;2000-03-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2000;4;2000-04-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2000;5;2000-05-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2000;6;2000-06-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2000;7;2000-07-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2000;8;2000-08-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2000;9;2000-09-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2000;10;2000-10-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2000;11;2000-11-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2000;12;2000-12-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2001;1;2001-01-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2001;2;2001-02-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2001;3;2001-03-06;456.0;Cash ( GIRO )
5c7f2af4d4ce1230ca5525c6;2001;4;2001-04-06;456.0;Cash ( GIRO )
